Sludge Temperature,Gas Temperature,Gas,Pressure,pH
29,35,43779,8125,4
29,36,42055,8625,4
30,36,35261,8875,4
30,37,34030,8875,4
30,36,55158,9375,4
30,35,66274,9000,4
30,35,72747,8375,4
30,34,73183,8375,4
30,33,67418,8000,4
30,33,70623,7500,4
30,32,71886,7500,4
30,32,71886,7000,4
30,31,71886,6875,4
30,31,66274,6500,4
29,30,58417,6625,4
29,30,59677,6250,4
29,30,62669,5875,4
29,30,56604,6250,4
29,30,58109,5875,4
29,30,56019,5875,4
29,29,56900,5625,4
29,29,56310,5625,4
28,29,58417,5375,4
28,29,54596,5125,4
28,29,54319,5375,4
28,29,54043,5375,4
28,29,52962,5125,4
28,29,51658,5250,4
28,28,50899,5125,4
28,28,53770,5250,4
27,28,52697,4875,4
27,28,49672,4875,4
27,28,50650,4625,4
28,28,52434,5000,4
27,28,52173,4500,4
27,28,51403,4875,4
27,28,50157,4625,4
27,28,51403,4375,4
27,28,51658,4375,4
27,28,50157,4500,4
26,27,52173,4250,4
26,27,51403,4000,4
26,27,52434,3500,4
26,27,53770,4250,4
26,27,54043,4375,4
26,27,53770,4250,4
26,27,54043,4375,4
26,27,52434,4375,4
26,27,53498,3125,4
26,27,52962,4250,4
26,28,53498,4875,4
26,28,56604,3375,4
26,28,63016,4625,4
26,29,61311,5000,4
26,30,60979,4875,4
26,30,55730,5125,4
26,31,58417,5375,4
27,31,65160,5625,4
26,31,62669,6000,4
26,31,62669,6125,4
27,31,70210,6500,4
27,32,66274,6250,4
27,32,63016,6625,4
27,33,61984,6875,4
27,33,57803,7250,4
27,34,55158,7250,4
28,34,56604,7625,4
28,35,58109,8000,4
28,35,55443,8125,4
28,35,58109,8375,4
29,35,58728,8125,4
29,36,60649,8500,4
29,36,57499,8750,4
29,36,59998,9250,4
29,36,57803,9125,4
30,36,59358,8750,4
30,35,77779,8875,4
30,35,90195,8750,4
30,34,93295,8500,4
30,33,87249,8250,4
30,33,93295,7625,4
30,33,86112,7625,4
30,32,80245,7125,4
30,32,78263,7125,4
30,32,79245,7125,4
29,32,81783,6875,4
29,31,77300,6875,4
29,31,81783,6750,4
29,31,82834,6500,4
29,30,83367,6125,4
29,30,75889,6000,4
29,30,75889,6250,4
29,30,70623,6125,4
29,30,69394,5875,4
29,29,73183,5500,4
28,29,70623,5500,4
28,29,68593,5125,4
28,29,65899,5375,4
28,29,63016,5875,4
28,29,64795,5375,4
28,29,71461,5000,4
